Term,Canada
Canada appeared in 50 Documents,Total word(m),Frequency(f)
Article #1,103,5
Article #2,99,2
Article #3,82,3
Article #4,66,3
Article #5,113,3
Article #6,104,3
Article #7,109,1
Article #8,67,2
Article #9,68,2
Article #10,97,3
Article #11,81,2
Article #13,98,2
Article #15,102,2
Article #16,96,2
Article #17,95,2
Article #18,105,7
Article #19,99,6
Article #20,103,4
Article #44,101,1
Article #54,78,3
Article #58,100,2
Article #59,84,1
Article #65,92,4
Article #68,107,1
Article #73,101,1
Article #80,97,1
Article #81,105,1
Article #82,106,1
Article #83,89,1
Article #84,96,3
Article #85,99,4
Article #86,91,2
Article #87,115,1
Article #88,110,1
Article #89,101,2
Article #91,110,1
Article #92,105,1
Article #93,86,1
Article #95,109,1
Article #99,110,1
Article #100,96,1
Article #101,100,1
Article #104,117,2
Article #107,97,1
Article #111,102,4
Article #115,78,2
Article #119,64,2
Article #120,95,2
Article #131,99,1
Article #134,99,2
Article with highest relative frequency is Article #18
